birthday,count
1/1/2000,3064
1/1/1999,2498
1/1/1998,2161
10/10/2000,825
10/10/1998,705
10/10/1999,692
2/2/2000,681
17/10/2000,656
2/1/2000,653
18/11/2000,648
16/10/2000,627
15/10/2000,617
18/10/2000,607
2/9/2000,590
9/9/1999,577
18/10/1999,565
10/2/2000,565
20/11/2000,564
15/8/2000,560
18/11/1999,556
20/10/2000,555
10/1/2000,554
16/9/2000,549
15/9/2000,547
17/10/1999,544
20/10/1999,544
1/2/2000,541
15/9/1999,538
17/11/2000,537
2/2/1999,533
16/11/1999,521
2/2/1998,518
16/10/1999,517
16/10/1998,510
10/8/2000,502
15/10/1999,498
20/10/1998,497
10/9/1998,494
2/1/1998,493
16/11/2000,492
20/11/1999,492
15/10/1998,491
18/9/2000,490
15/5/2000,488
16/8/2000,487
19/12/2000,483
2/1/1999,482
18/10/1998,481
16/9/1999,481
17/9/2000,481
16/3/2000,480
1/1/0,479
18/12/2000,472
17/11/1999,471
2/10/2000,470
10/9/2000,469
2/9/1998,469
10/1/1998,468
16/2/2000,464
3/3/2000,464
19/1/2000,464
15/7/2000,464
12/9/2000,462
2/9/1999,461
18/11/1998,460
11/11/1999,459
9/9/2000,458
20/2/2000,452
15/8/1999,451
17/10/1998,451
19/11/2000,451
20/8/2000,450
16/8/1999,447
14/10/2000,446
17/9/1999,446
10/11/2000,445
10/11/1999,445
15/11/2000,443
16/6/2000,442
3/1/2000,441
19/9/2000,441
12/12/2000,440
1/2/1998,440
10/1/1999,437
18/2/2000,437
18/8/1998,435
18/8/2000,434
14/9/2000,434
16/8/1998,434
17/8/2000,433
5/5/2000,433
6/6/2000,433
10/8/1999,432
10/5/2000,431
16/9/1998,430
15/3/2000,429
1/2/1999,428
3/2/2000,427
19/5/2000,427
17/11/1998,427
10/3/2000,425
14/7/2000,425
24/10/2000,425
8/3/2000,424
19/12/1998,424
11/11/2000,423
19/9/1999,423
10/3/1999,422
12/10/2000,422
18/1/2000,422
4/4/2000,421
15/2/2000,421
9/10/2000,421
18/9/1999,419
15/8/1998,419
1/10/2000,418
14/8/2000,418
10/8/1998,418
10/6/2000,417
14/8/1999,415
13/9/2000,415
19/10/2000,415
8/8/1999,414
17/3/2000,413
1/11/2000,413
10/2/1999,413
15/5/1999,413
18/3/2000,412
20/1/2000,411
2/3/2000,409
14/10/1999,409
30/8/2000,407
19/11/1999,407
19/5/1998,407
12/2/2000,407
12/6/2000,406
16/3/1999,406
4/10/2000,406
6/9/1999,406
4/11/2000,406
8/3/1999,405
19/2/2000,405
20/11/1998,403
14/11/2000,402
19/12/1999,401
12/10/1999,400
10/9/1999,399
15/5/1998,398
16/7/2000,397
6/1/2000,397
8/10/2000,397
16/2/1998,396
15/1/2000,396
20/9/2000,396
15/9/1998,396
14/2/2000,394
13/10/2000,394
5/5/1998,392
24/4/1999,392
16/6/1999,391
19/5/1999,391
18/12/1998,391
4/2/2000,390
25/10/2000,390
1/9/2000,390
16/1/2000,389
6/9/2000,389
19/10/1999,388
19/8/1998,388
15/7/1999,388
25/9/2000,388
20/9/1999,388
13/11/2000,387
7/7/2000,386
6/6/1998,385
8/11/2000,385
19/8/2000,385
10/4/2000,385
20/4/2000,385
18/8/1999,385
9/10/1999,385
14/3/2000,384
17/1/2000,383
5/11/2000,382
2/4/2000,381
22/10/2000,381
12/7/2000,381
14/6/2000,381
5/1/2000,381
17/2/1999,381
14/9/1999,380
6/6/1999,380
15/3/1999,380
21/1/2000,380
12/8/2000,380
16/2/1999,380
10/5/1998,380
3/2/1998,379
4/5/2000,379
10/2/1998,378
3/4/2000,378
15/6/2000,378
1/10/1999,378
17/2/2000,378
16/4/1998,378
12/9/1999,376
19/1/1998,375
20/2/1998,374
16/6/1998,374
12/1/2000,374
10/6/1998,374
10/5/1999,373
28/8/2000,372
29/9/2000,372
3/10/2000,371
8/9/2000,371
14/4/2000,371
18/2/1998,370
3/3/1999,370
27/10/2000,370
17/2/1998,370
12/4/2000,370
17/8/1999,370
20/2/1999,370
13/3/2000,369
9/3/2000,368
3/3/1998,368
1/3/2000,367
5/10/2000,366
16/11/1998,366
6/11/2000,366
2/3/1998,365
20/8/1999,365
10/4/1999,365
5/5/1999,365
15/11/1999,364
28/2/2000,364
15/11/1998,364
12/11/2000,364
2/11/1999,364
20/8/1998,363
2/4/1999,363
1/6/2000,363
17/12/2000,363
8/8/1998,363
12/3/2000,363
12/8/1998,362
17/3/1999,362
28/10/2000,361
2/11/2000,361
18/12/1999,361
12/10/1998,361
10/7/1999,360
20/7/1999,360
25/1/2000,360
8/8/2000,360
26/6/2000,360
1/11/1999,359
4/3/2000,358
25/5/2000,357
12/2/1998,356
13/9/1999,356
24/9/2000,356
27/9/2000,355
27/7/1999,355
5/9/2000,355
25/8/2000,355
1/5/2000,355
13/8/2000,354
6/2/2000,354
17/9/1998,354
12/5/2000,353
16/5/2000,353
26/9/2000,353
30/10/2000,352
12/7/1999,352
1/8/1998,352
7/8/2000,352
15/2/1999,352
15/7/1998,351
1/6/1999,351
11/9/2000,351
10/6/1999,351
15/4/2000,350
4/1/2000,350
11/10/2000,350
2/6/2000,350
20/6/2000,350
6/10/2000,350
15/4/1999,350
20/6/1998,348
4/4/1998,348
20/4/1999,348
30/10/1999,347
20/7/2000,347
18/4/2000,347
13/2/2000,346
20/5/1998,346
10/7/2000,346
16/3/1998,345
17/5/2000,345
8/2/2000,345
3/2/1999,345
12/6/1999,344
1/6/1998,344
16/7/1999,344
6/4/2000,344
12/1/1998,343
3/11/2000,343
20/12/2000,343
21/11/1999,343
26/2/2000,342
6/3/2000,342
8/10/1999,342
2/10/1999,342
18/2/1999,341
5/10/1999,341
26/3/2000,341
10/3/1998,341
5/9/1999,341
4/9/2000,340
5/3/2000,340
13/10/1999,339
12/8/1999,339
28/8/1998,339
23/10/2000,339
14/10/1998,339
14/2/1998,339
17/7/2000,339
2/5/2000,338
24/9/1999,338
13/6/2000,338
17/3/1998,337
4/4/1999,337
20/3/2000,337
6/8/2000,336
22/9/2000,336
26/7/2000,336
20/12/1999,336
6/1/1998,336
18/7/2000,335
2/3/1999,335
18/9/1998,335
11/6/2000,335
1/8/2000,334
9/11/2000,334
22/2/2000,333
11/8/2000,333
4/9/1999,333
15/1/1998,333
1/9/1998,333
26/8/2000,333
1/5/1999,332
6/5/2000,332
16/4/2000,332
15/3/1998,332
2/8/2000,332
7/10/2000,332
13/11/1999,331
25/5/1999,331
5/7/2000,331
26/10/2000,331
8/1/2000,331
1/5/1998,330
14/9/1998,330
16/12/2000,330
10/4/1998,330
6/7/2000,329
7/9/2000,329
3/4/1999,328
8/3/1998,328
19/9/1998,328
14/4/1999,328
3/4/1998,328
13/7/2000,327
26/10/1999,327
5/11/1999,327
7/7/1999,327
8/6/2000,327
20/4/1998,327
16/1/1999,326
3/10/1999,326
12/2/1999,326
7/5/2000,326
22/11/2000,326
27/9/1999,326
23/3/2000,326
7/2/2000,326
20/3/1999,326
4/3/1998,325
26/9/1999,325
4/2/1999,325
27/7/2000,324
5/3/1999,324
7/11/2000,324
11/11/1998,324
26/1/2000,324
23/10/1999,323
22/2/1999,323
16/4/1999,323
3/5/2000,323
12/4/1999,323
9/8/2000,323
9/10/1998,323
12/12/1998,322
19/3/2000,322
12/9/1998,322
14/7/1999,321
20/6/1999,321
12/12/1999,321
1/9/1999,321
23/8/2000,321
19/10/1998,321
28/4/2000,321
28/8/1999,321
12/11/1999,320
2/12/2000,320
10/11/1998,320
24/8/2000,320
14/8/1998,320
26/3/1999,320
29/9/1999,320
18/1/1998,319
25/12/1999,319
17/4/1999,319
7/4/2000,319
4/8/2000,319
17/4/2000,319
9/6/2000,318
8/9/1998,318
20/5/2000,318
30/9/1999,317
11/7/2000,317
14/1/2000,316
14/2/1999,316
9/9/1998,316
24/4/2000,316
11/1/2000,316
10/7/1998,316
17/6/2000,316
21/10/2000,316
22/8/2000,316
17/7/1999,315
10/12/1999,315
13/8/1999,315
28/1/2000,315
21/11/2000,315
5/2/2000,315
10/12/2000,315
1/4/2000,314
5/6/2000,314
6/11/1999,314
1/7/2000,314
3/6/2000,313
18/3/1998,313
4/11/1999,313
