city,count
Nghệ An,45439
Tây Ninh,18211
Thừa Thiên Huế,16477
TP Hồ Chí Minh,16286
Bình Định,16142
Quảng Nam,14580
Hà Nội,14027
Tiền Giang,13649
Bến Tre,13590
Hà Tĩnh,12336
Đà Nẵng,11859
Thái Nguyên,11723
Hải Dương,10832
Bắc Ninh,10774
Quảng Ninh,9064
Lâm Đồng,8444
Tuyên Quang,8180
Đắk Lắk,7691
Hải Phòng,7411
Đồng Tháp,7004
Quảng Bình,6653
Thanh Hóa,6134
Phú Thọ,5793
An Giang,4581
Cần Thơ,4576
Sóc Trăng,4537
Hà Nam,4284
Kon Tum,4217
Lạng Sơn,3845
Lào Cai,3751
Long An,3711
Phú Yên,3583
Hậu Giang,3486
Nam Định,3414
Ninh Thuận,3316
Trà Vinh,3229
Đắk Nông,3153
Bình Thuận,3041
Bắc Giang,2862
Cà Mau,2819
Quảng Trị,2294
Yên Bái,2275
Vĩnh Phúc,2269
Bình Dương,2223
Gia Lai,2211
Khánh Hòa,2091
Ninh Bình,2072
Kiên Giang,1861
Thái Bình,1728
Hưng Yên,1554
Quảng Ngãi,1534
Điện Biên,1353
Bình Phước,1202
Bắc Kạn,1038
Hòa Bình,972
Đồng Nai,964
Bà Rịa - Vũng Tàu,930
Sơn La,906
Vĩnh Long,607
Lai Châu,464
Hà Giang,353
Cao Bằng,204
Bạc Liêu,145
,9
