middle_name,count
thi,128101
,31622
van,31018
ngoc,20977
thanh,19927
minh,14627
thu,11874
thuy,11698
hoang,9268
hong,8858
phuong,7921
anh,7718
kim,7540
duc,6463
my,6144
nguyen,5907
quoc,5632
quang,5504
xuan,5110
dinh,4920
le,4426
huu,4245
khanh,4006
nhu,3557
quynh,3465
nhat,3442
bao,3433
viet,3381
cong,3292
hoai,3229
trung,3181
duy,3175
hai,3076
tran,3044
bich,2994
tuan,2977
thao,2896
huynh,2633
mai,2621
cam,2591
tien,2521
huyen,2490
yen,2478
trong,2477
ha,2427
tan,2415
kieu,2309
lan,2256
dang,2206
tuyet,1880
gia,1866
truong,1814
ba,1783
the,1753
thai,1721
manh,1667
huong,1608
huy,1572
vu,1524
thien,1497
chi,1491
tu,1483
linh,1467
dieu,1459
truc,1375
diem,1324
pham,1219
tuong,1071
phuc,979
tra,938
phuoc,933
vo,913
lam,873
phan,817
doan,731
phi,698
khac,696
duong,695
phu,641
to,640
a,623
vinh,612
ho,606
long,602
cao,591
nam,563
hieu,560
nhut,560
hung,555
y,542
trang,538
binh,530
hoa,516
dai,513
sy,508
an,504
uyen,504
ai,502
hien,498
do,486
chau,477
tung,452
ly,450
tri,445
que,431
bui,430
tieu,419
mong,417
hanh,414
nu,413
ngo,396
son,384
ngan,384
quy,378
nguyet,368
thuc,363
dong,335
hang,331
tam,327
t,316
tram,303
hue,299
luong,298
trieu,291
be,290
dac,279
nha,273
danh,272
dat,263
trinh,257
ky,256
kha,254
giang,252
dan,251
diep,244
mi,240
dao,240
vi,233
si,231
thuong,229
canh,226
phung,219
luu,216
nhan,212
nhi,202
tai,196
song,194
dung,193
nghia,193
vy,189
khai,188
bach,181
muoi,177
phong,177
quan,171
kien,170
tat,163
hoan,152
cat,152
vuong,148
quyen,145
phat,142
bang,141
ta,140
thang,137
oanh,136
hao,136
thach,135
boi,134
toan,132
thuan,132
duyen,123
tho,119
chung,117
han,116
ut,116
loc,114
nga,112
khoa,110
dien,108
h,105
cuong,105
quyet,96
da,94
loan,91
tuyen,90
hau,90
la,90
nhung,89
chien,88
chinh,87
lien,87
chan,86
lop,86
b,85
mot,84
tinh,84
hiep,81
khoi,79
khang,78
k,77
chanh,77
man,76
bac,74
di,70
na,69
than,67
sinh,67
khuong,67
suong,66
mau,65
du,65
sang,64
tue,64
va,63
buu,62
co,60
thoai,60
v,59
thy,59
that,59
n,58
tin,58
tang,58
ton,58
sa,56
ti,55
tham,55
thj,55
chuc,54
tong,54
lu,53
thii,53
thong,52
seo,50
su,50
qui,47
thieu,45
nang,45
dep,44
lai,44
ninh,44
lieu,43
thij,42
chuyen,42
ten,42
d,41
c,41
ma,41
thinh,40
hoc,39
sao,39
th,39
nho,39
dam,38
chu,38
giao,37
so,37
ni,36
u,36
cuc,36
p,34
hua,34
khong,34
nghiem,34
luc,33
nghi,33
chieu,33
ke,33
can,33
vien,31
ng,31
lang,29
thanhh,29
thua,28
thac,28
ndc,28
em,27
kinh,27
luan,27
min,27
cham,27
ny,26
kiem,26
cuu,26
m,26
ban,26
mac,25
bo,25
li,25
thpt,25
kiet,25
lap,25
thiet,25
loi,25
sieu,24
lao,24
lanh,24
bi,24
ca,24
tay,23
lac,23
bien,23
q,23
bat,23
may,23
uy,23
ty,23
sau,22
liem,22
nong,21
no,21
con,21
de,21
quach,21
che,20
diu,20
ka,20
thoi,20
bon,20
mo,20
minhh,20
pha,19
hi,19
e,19
rat,19
nhuan,18
vann,18
i,18
cu,18
hoanh,18
don,18
mnh,17
ngu,17
phoi,16
nuoch,16
giau,16
biet,16
dau,16
me,16
moc,15
ich,15
ki,15
rang,15
l,15
sam,14
triet,14
vui,14
cho,14
khia,14
khiet,14
thuyy,14
camtra,13
tiet,13
xinh,13
trai,13
thui,13
san,13
khue,13
vang,13
thin,13
chin,13
xa,13
chuong,13
hop,13
cung,13
thap,12
len,12
lo,12
cau,12
loong,12
qua,12
mu,12
gian,11
cua,11
ham,11
tich,11
ram,11
x,11
truyen,11
pat,11
bay,10
thom,10
au,10
yeu,10
