school,count
THPT Nguyễn Đình Chiểu,9652
THPT Thái Hoà,4800
THPT Lê Hồng Phong,4174
THPT  Huỳnh Ngọc Huệ,3749
THPT Nguyễn Trãi,3637
THPT Hà Huy Tập,2982
THPT Trần Hưng Đạo,2829
THPT Trần Phú,2730
THPT Nguyễn Huệ,2659
THPT Thuận Thành 1,2443
THPT Nguyễn Chí Thanh,2402
THPT Phan Đăng Lưu,2378
THPT Mạc Đĩnh Chi,2192
THPT Nguyễn Thị Minh Khai,2152
THPT   Sào Nam,2148
THPT Gia Bình 1,2084
THPT Phan Châu Trinh,2077
THPT Nguyễn Hiền,2056
THPT Lý Tự Trọng,1946
THPT Lương Tài 1,1922
THPT Tây Hiếu,1919
THPT Phan Đình Phùng,1884
THPT Đức Trọng,1865
THPT Hoàng Văn Thụ,1817
THPT Quỳnh Lưu 1,1803
THPT Trần Khai Nguyên,1722
THPT chuyên Lê Quý Đôn,1697
THPT Quế Võ 1,1679
THPT Ngô Quyền,1676
THPT  Nguyễn Huệ,1590
THPT Cẩm Phả,1543
THPT Hoàng Hoa Thám,1539
THPT Thái Phiên,1528
THPT Lê Quảng Chí,1516
THPT  Trần Phú,1512
THPT Phan Ngọc Hiển,1482
THPT Hai Bà Trưng,1462
THPT Lê HồngPhong,1443
Trường THPT Chuyên Hùng Vương,1438
THPT Chu Văn An,1420
THPT Chuyên Nguyễn Du,1420
THPT Quỳnh Lưu 4,1394
THPT Tăng Bạt Hổ,1388
THPT Nghi Lộc 2,1375
THPT Nam Đàn 1,1372
THPT Trần Đại Nghĩa,1322
THPT Quang Trung,1319
THPT Lộc Phát - Bảo Lộc,1318
THPT Nghi Xuân,1311
THPT Lê Viết Thuật,1303
THPT Lê Hoàng Chiếu,1297
THPT Lê Quý Đôn,1294
THPT Lưu Tấn Phát,1286
THPT Đặng Thai Mai,1278
THPT Mai Thanh Thế,1272
THPT Lương Thế Vinh,1266
THPT Huỳnh Thúc Kháng,1265
THPT Phạm Hồng Thái,1264
THPT Nguyễn Văn Trỗi,1248
THPT Nguyễn Thái Bình,1234
THPT A Hải Hậu,1234
THPT Nam Sách,1207
THPT Nhân Chính,1199
"THPT Lưu Nhân Chú, Đại Từ",1193
THPT Lương Phú,1181
THPT Nguyễn Trường Tộ,1173
THPT Phạm Phú Thứ,1172
THPT Thanh Khê,1172
THPT số 1 Bảo Yên,1162
THPT Phan Việt Thống,1154
THPT Thái Lão,1143
THPT Tiên Lãng,1139
THPT Trần Quốc Tuấn,1138
THPT   Hiệp Đức,1133
THPT Thủ Khoa Nghiã,1095
THPT Nguyễn Công Trứ,1086
THPT Kim Xuyên,1081
THPT  Chuyên Quốc Học,1072
THPT Thiên Hộ Dương,1072
THPT Phú Bài,1071
THPT Chuyên Nguyễn Trãi,1066
THPT Hoàng Diệu,1057
THPT Đông Triều,1009
THPT Hồng Bàng,1007
THPT Tây Ninh,1006
THPT  Đỗ Đăng Tuyển,1004
THPT Nguyễn Trung Trực,999
THPT TX Cửa lò,992
THPT Cao Thắng,983
THPT Tây Thạnh,983
THPT Thanh Chương 3,977
THPT số 1 Bố Trạch,964
THPT Nghèn,957
THPT Nam Đàn 2,954
THPT số 2 Bảo Yên,948
THPT Chuyên Nguyễn Tất Thành,947
THPT Bình Giang,938
THPT Kỳ Sơn,937
THPT Số 2 Phù Mỹ,934
THPT Nguyễn Văn Cừ,931
THPT Quỳ Châu,927
THPT Vĩnh Bình,922
THPT Lý Thường Kiệt,920
THPT Trường Chinh,910
THPT Việt-Đức,902
THPT Mỹ Thọ,898
THPT Tiểu Cần,898
THPT Thốt Nốt,896
THPT Cây Dương,894
Trường THPT Trường Chinh,892
THPT An Lương,880
THPT Nguyễn Hữu Quang,873
THPT Hoàng Mai,866
THPT Hùng Vương,860
THPT số 3 Bố Trạch,856
THPT chuyên Hoàng Lê Kha,850
THPT Ngô Gia Tự,848
THPT Sơn Dương,827
THPT Tân Châu,825
THPT Trần Nguyên Hãn,815
THPT Tuần Giáo,813
THPT Nguyễn Du,811
THPT Tháp Mười,810
THPT Tân Kỳ,810
THPT Cửa Lò 2,805
THPT Trần Văn Thời,800
TTGDTX Đô Lương,793
THPT Phú Bình,793
THPT Sông Lô,789
THPT Kim Thành,788
THPT  Lê Trung Kiên,782
THPT Thác Bà,781
THPT Phú Điền,780
THPT Số 1 Tuy phước,778
THPT Nguyễn Văn Linh,766
THPT Lê Qúy Đôn,760
THPT Vinh Xuân,755
THPT Chuyên Nguyên Đình Chiêu,754
THPT Nam Sách II,746
THPT Sông Công,745
THPT C Kim Bảng,742
THPT Dương Minh  Châu,735
THPT 1/5,715
THPT Thị xã Quảng Trị,713
THPT Ngô Sỹ Liên,701
THPT  Tứ Kiệt,700
THPT Bắc Thăng Long,697
THPT Vị Thanh,694
THPT Dân tộc nội trú Tỉnh,694
THPT Nguyễn Diêu,693
THPT Chuyên Lê Quý Đôn,691
THPT Anhxtanh,688
THPT - Hoàng Hoa Thám - Lệ Thủy,687
THPT Lộc Thành -Bảo Lâm,683
THPT Lộc Hưng,681
THPT Tân Hưng,680
THPT Tân Yên 1,678
THPT Trần Quốc Đại,667
THPT Chuyên Chu Văn An,665
THPT Thuận Hưng,658
THPT Vũng Tàu,657
THPT Nguyễn Hữu Cảnh,656
THPT Lê Duẩn,656
THPT Tân Hà -Lâm Hà,647
THPT Nam Kỳ Khởi Nghĩa,646
THPT Thuận An,645
THPT  Xuân Đỉnh,643
THPT Đường An,643
THPT Huỳnh Tấn Phát,643
THPT Phan Thanh Giản,642
Trường THPT Yển Khê,640
THPT Bình Dương,638
THPT  Lê Qúy Đôn,625
THPT Bắc Bình,623
THPT Nguyễn Khuyến,621
THPT Hồng Đức,616
THPT Vũ Tiên,596
THPT Chuyên Nguyễn Huệ,596
THPT  chuyên  Long An,594
THPT Hà Lang,590
THPT Nguyễn Văn Tiếp,584
THPT Tam Giang,581
THPT Thiều Văn Chỏi,580
THPT Việt Nam-Ba Lan,569
THPT Hương Vinh,565
THPT Bùi Thị Xuân,562
THPT Quỳnh Lưu 2,559
THPT Chuyên Bắc Ninh,558
THPT Phạm Văn Đồng,553
THPT Đốc Bình Kiều,552
THPT số 3 Tuy Phước,545
THPT Hương Sơn,544
THPT Nguyễn Ngọc Thăng,535
THPT Ng Trung Ngạn,531
THPT Châu Văn Liêm,529
THPT Lệ Thủy,528
THPT Quảng Hà,528
THPT Nguyễn Bỉnh Khiêm,528
THPT Trần Quang Khải,527
THPT DTNT Kontum,527
THPT Xuân Huy,527
Trường Phổ thông Dân tộc nội trú THPT tỉnh Tuyên Quang,523
THPT Nguyễn Sinh Cung,523
THPT   Nông Sơn,521
THPT Phổ Yên,521
THPT Uông Bí,521
THPT Đông Hiếu,518
THPT Chuyên Nguyễn Chí Thanh,517
Trường THPT Việt Trì,515
